gates_dec,n,mean_pct,lo_pct,hi_pct
1,925,35.3471187497928,35.311992434068,35.3874305573454
2,924,36.3593282303308,36.3475190622795,36.3702134368587
3,924,36.9766705335502,36.9644849107596,36.9873926813458
4,924,37.6333784120562,37.6212779633753,37.6455165346256
5,925,38.2859434256128,38.2731574134644,38.2970033022646
6,924,38.9418068636387,38.9286961035869,38.9553670111301
7,924,39.9573769317005,39.9345261820434,39.9780534535812
8,924,41.2422721933975,41.2153899277039,41.2673693104413
9,924,42.5596207128873,42.532762287104,42.5895754960427
10,925,44.5261962297265,44.4723322271828,44.5703910147607
1,925,31.1142892648004,31.1034626609138,31.1256073231667
2,925,31.4569489674957,31.4528252272805,31.4611998484902
3,924,31.7034145733939,31.6982146049865,31.708359701964
4,925,32.6390328427775,32.6023959444471,32.6765447132123
5,925,33.4447178217252,33.4406517454788,33.4490271199586
6,924,33.6097309252978,33.6072229794665,33.6125802396395
7,925,33.7328405593234,33.7309449004448,33.7347605151123
8,924,33.8448875812268,33.8428148531029,33.8472687121431
9,925,33.9831935312222,33.9803005547917,33.9864548499123
10,925,34.2275388162232,34.2193324006416,34.2372257218187
1,925,-11.7804982439669,-11.7871926132303,-11.7742283864269
2,925,-11.6041723851758,-11.6063420105937,-11.6019064799051
3,925,-11.4713939812092,-11.4744378521186,-11.4682956416385
4,925,-10.8742285485958,-10.9020360111668,-10.8491113669544
5,925,-10.4138324548908,-10.4152720871526,-10.4123612827356
6,925,-10.3471986566887,-10.3482689597574,-10.3461316430712
7,925,-10.294331559015,-10.2952154712417,-10.2934490959577
8,925,-10.2433790563031,-10.2443083922013,-10.2423788919938
9,925,-10.1840046852936,-10.185368501888,-10.1827139890701
10,925,-10.0779091453659,-10.0818185581782,-10.0739053434643
1,926,-12.9604649158768,-12.9853239820932,-12.9370076064006
2,925,-11.663755380825,-11.6903221690019,-11.6420938210044
3,925,-9.62164894789949,-9.66518470077669,-9.58122880500068
4,926,-8.63386295725963,-8.64163294166152,-8.62669851632973
5,925,-8.25465036427432,-8.26143231370012,-8.24754515982407
6,925,-7.85759779912794,-7.8646591537327,-7.85022295446785
7,926,-7.44306759792563,-7.45098252802786,-7.43486911625215
8,925,-6.53863683467163,-6.5739181409132,-6.50154300953707
9,925,-4.82241989536179,-4.84800842269216,-4.79535200517356
10,926,-2.91478042064704,-2.96477737343073,-2.8584272763402
1,548,32.9675666964809,32.9474993215047,32.9873615075749
2,547,33.2857175929262,33.2806968981604,33.2900021780862
3,547,33.4505287916252,33.4468164629814,33.4541740329082
4,548,33.5810430257288,33.5783373020971,33.5836158278248
5,547,33.6906759146013,33.6874154320051,33.6932263902168
6,547,33.7942704157505,33.7916180338882,33.7967894884481
7,548,33.900409203775,33.8979178405116,33.9029963751872
8,547,34.0133237982561,34.0099342372978,34.0164761237873
9,547,34.1639859715743,34.1595377440366,34.1685078342078
10,548,34.4936379094236,34.4754568381965,34.5123378462734
1,926,-9.48364101235971,-9.51179309805352,-9.451248453223
2,925,-8.3795900276052,-8.39591053426889,-8.3621348794218
3,925,-7.72941959604645,-7.73993494208499,-7.71938900088679
4,926,-7.1732761348116,-7.18502119040026,-7.16328421483744
5,925,-6.57532916389468,-6.58584414626579,-6.56461718592653
6,925,-6.05126272394583,-6.05912130423891,-6.04219405632406
7,926,-5.55788315559867,-5.56760381301815,-5.54788793409716
8,925,-4.97674506546362,-4.98736837010861,-4.96518392432747
9,925,-4.18010343041478,-4.19776745687121,-4.16511212578278
10,926,-2.73538148723813,-2.78044729692953,-2.68506046313224
1,555,40.8447293662744,40.8250445999768,40.8646460775595
2,554,41.209664846366,41.2039884429006,41.2151886261036
3,554,41.4397759604558,41.4344315725439,41.4446269813996
4,554,41.680502140385,41.6749525194421,41.6868259592813
5,554,41.9929466910444,41.9830813001138,42.0017044079703
6,554,42.4474481794208,42.4354720663007,42.4591457868809
7,554,43.2875976191764,43.2375592171156,43.3385849292497
8,554,44.8831848867111,44.8716411310741,44.893606048165
