bin,n,mean_cate_pct,sd_cate_pct,treatment,covariate
"(0.0696,0.297]",731,5.39729254744069,3.38612557674475,buyer_N_total_value_high,log_buyern_1_rolling_avg_value_last10
"(0.982,2.49]",679,4.28257242170254,3.41380793939378,buyer_N_total_value_high,log_buyern_1_rolling_avg_value_last10
"[0,0.00151]",730,3.73544589056622,3.2849134102105,buyer_N_total_value_high,log_buyern_1_rolling_avg_value_last10
"(8.39,9.97]",688,4.20947540842448,2.90609522165873,buyer_N_total_value_high,log_sellern_1_total_value
"(6.04,7.13]",729,6.71872935890757,3.27293750062587,buyer_N_total_value_high,log_sellern_1_total_value
"(7.13,8.37]",731,5.65556026105861,3.13009943672761,buyer_N_total_value_high,log_sellern_1_total_value
"(8.37,8.39]",768,1.54338214672021,2.23715750742128,buyer_N_total_value_high,log_sellern_1_total_value
"[4.59,6.04]",730,5.87164922900638,2.96668597387199,buyer_N_total_value_high,log_sellern_1_total_value
"(0.935,0.982]",785,1.68979394360074,2.40672338626273,buyer_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.174,0.935]",730,5.52486087822578,3.1659233048175,buyer_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"[0,0.0169]",731,6.22870837927003,3.33831377990627,buyer_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.0169,0.174]",728,6.07000695974841,3.22588679644332,buyer_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.982,2.24]",672,4.56565652017059,2.7893004736292,buyer_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"[0,0.693]",3124,5.04088798675924,3.46851121736877,buyer_N_total_value_high,log_unique_makers_count
"(0.693,1.39]",522,3.16508561243949,2.87342002233007,buyer_N_total_value_high,log_unique_makers_count
"[0,2e-11]",2920,5.20847379079497,3.45054872564913,buyer_N_total_value_high,log_median_offer_price
"(2e-11,2.39]",726,3.01813400992833,2.85341762459599,buyer_N_total_value_high,log_median_offer_price
"(0.36,1.26]",729,5.07300456541131,3.37909976260129,buyer_N_total_value_high,log_buyern_avg_total_gaspaid
"(1.26,2.1]",729,4.38520841301221,3.63522949168393,buyer_N_total_value_high,log_buyern_avg_total_gaspaid
"(2.1,3.43]",730,5.36582173664847,3.576015417776,buyer_N_total_value_high,log_buyern_avg_total_gaspaid
"(3.43,5.06]",728,5.14297292071006,3.31270278872998,buyer_N_total_value_high,log_buyern_avg_total_gaspaid
"[0.041,0.36]",730,3.8955306096277,3.12517667345709,buyer_N_total_value_high,log_buyern_avg_total_gaspaid
"(3.69,5.06]",670,4.73103912645399,3.65768142108982,buyer_N_total_value_high,log_buyern_1_avg_total_gaspaid
"[0.222,1.1]",730,4.78075533443483,3.15972725850767,buyer_N_total_value_high,log_buyern_1_avg_total_gaspaid
"(2.84,3.69]",788,4.41931608622801,3.55748993575799,buyer_N_total_value_high,log_buyern_1_avg_total_gaspaid
"(1.1,1.99]",732,4.93377929494222,3.39199323969137,buyer_N_total_value_high,log_buyern_1_avg_total_gaspaid
"(1.99,2.84]",726,5.02233282592603,3.46087876044398,buyer_N_total_value_high,log_buyern_1_avg_total_gaspaid
"(1.23,2.18]",729,5.47346801414666,3.50399119131299,buyer_N_total_value_high,log_sellern_avg_total_gaspaid
"(0.497,1.23]",730,5.74744798448212,3.4011697723333,buyer_N_total_value_high,log_sellern_avg_total_gaspaid
