treatment,covariate,method,n_obs,coef_log,se_log,z_or_t,p_value,ci_lo_log,ci_hi_log,coef_pct,ci_lo_pct,ci_hi_pct,r2_tau,r2_tau_oos
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2024-05`,grf_blp_single,2730,0.152110495587186,0.056413251906128,2.69636105786454,0.00701016359929184,0.0415405218511754,0.262680469323197,16.4288878108054,4.24154015974179,30.0411131309851,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2024-06`,grf_blp_single,2730,0.166161099203732,0.0548598164120766,3.02883075575064,0.00245502173864411,0.0586358590360614,0.273686339371402,18.0763306430413,6.0389039341616,31.4802335827731,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2024-07`,grf_blp_single,2730,0.295953640533201,0.089021685611255,3.32451175801802,0.00088573498476465,0.121471136735141,0.470436144331261,34.44078293572,12.9156774303766,60.0692173813858,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2024-08`,grf_blp_single,2730,0.321986291764471,0.118950287937358,2.70689796004561,0.0067915128614852,0.08884372740725,0.555128856121692,37.9865860301385,9.29098511245148,74.2165458995718,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2024-09`,grf_blp_single,2730,0.257529602721197,0.149478777654811,1.72285060636438,0.0849155445017201,-0.0354488014822326,0.550508006924626,29.3730108345161,-3.48278516515893,73.4133746091679,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2024-10`,grf_blp_single,2730,0.123081165674744,0.120486994961813,1.02153071137473,0.307003066312132,-0.11307334445041,0.359235675799899,13.0976213669732,-10.6914845126032,43.2234304764847,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2024-11`,grf_blp_single,2730,0.0944981110539643,0.0821565091193063,1.15022062240663,0.250053014490991,-0.0665286468198761,0.255524868927805,9.91070869770545,-6.43638875267668,29.1139121864267,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2024-12`,grf_blp_single,2730,-0.0290455117438813,0.0866369909477372,-0.335255315612273,0.737432498091553,-0.198854014001446,0.140762990513684,-2.86277453846867,-18.0330455124019,15.1151781757613,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2025-01`,grf_blp_single,2730,0.216328186082157,0.0866071017471109,2.49781116927138,0.0124962738833201,0.0465782666578192,0.386078105506494,24.1509758372455,4.7680074277624,47.1199575115324,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2025-02`,grf_blp_single,2730,0.279146334818139,0.160471102917684,1.73954269486969,0.0819393490977824,-0.0353770269005209,0.593669696536798,32.200078446002,-3.47585743382165,81.0620667171087,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2025-03`,grf_blp_single,2730,0.533496498386029,0.221753029675955,2.40581379729341,0.0161364870187801,0.0988605602211559,0.968132436550901,70.4883019957369,10.3912359531173,163.302252814108,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`Background_recoded_Army Green`,grf_blp_single,2730,-0.0238964423057592,0.103233813867499,-0.231478828598062,0.816942831174181,-0.226234717486058,0.17844183287454,-2.36131831099475,-20.2469114749389,19.5353350982916,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,Background_recoded_Blue,grf_blp_single,2730,0.0351067969787099,0.107833855559568,0.325563773979283,0.744754424294814,-0.176247559918044,0.246461153875464,3.5730315761755,-16.1589599166537,27.9489479044556,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,Background_recoded_Gray,grf_blp_single,2730,-0.0487203292042603,0.104288604435547,-0.467168291952462,0.640379477397703,-0.253125993897932,0.155685335489411,-4.75525358060098,-22.3629942228566,16.8458472823577,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`Background_recoded_New Punk Blue`,grf_blp_single,2730,-0.0960681092820925,0.0907757567497793,-1.05830138708622,0.289918060777609,-0.27398859251166,0.081852373947475,-9.15978566561578,-23.9659251210363,8.52955801004858,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,Background_recoded_Orange,grf_blp_single,2730,0.153730067960891,0.118286822579381,1.29963815587086,0.193725015779728,-0.0781121042946964,0.385572240216478,16.6176056008137,-7.51392601291484,47.0455534523609,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,Background_recoded_Purple,grf_blp_single,2730,-0.0174921627452279,0.114201629692891,-0.153169116695335,0.878264911563162,-0.241327356943295,0.206343031452839,-1.7340063008825,-21.4415582222574,22.9174777294376,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,Background_recoded_Yellow,grf_blp_single,2730,-0.0285758024633208,0.0904633079325669,-0.315882793990042,0.752091472180163,-0.205883886011152,0.14873228108451,-2.81713756496556,-18.6072420825888,16.0362296686165,0.800861714312945,0.837497144831612
